Año,CodClasificaciónEconómica,ClasificaciónEconómica,CodClasificaciónFuncional,Millones Euros
1996,D.9," Transferencias de capital, a pagar",05.3,14.0
1996,D.1,Remuneración de asalariados,05.4,142.0
1996,P.2,Consumos intermedios,05.4,71.0
1996,D.29,Otros impuestos sobre la producción,05.4,0.0
1996,D.3,Subvenciones,05.4,6.0
1996,D.4,Rentas de la propiedad,05.4,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,05.4,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.4,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.4,0.0
1996,D.7,Otras transferencias corrientes,05.4,6.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,05.4,0.0
1996,P.5,Formación bruta de capital,05.4,264.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.4,5.0
1996,D.9," Transferencias de capital, a pagar",05.4,38.0
1996,D.1,Remuneración de asalariados,05.5,47.0
1996,P.2,Consumos intermedios,05.5,12.0
1996,D.29,Otros impuestos sobre la producción,05.5,0.0
1996,D.3,Subvenciones,05.5,0.0
1996,D.4,Rentas de la propiedad,05.5,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,05.5,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.5,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.5,0.0
1996,D.7,Otras transferencias corrientes,05.5,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,05.5,0.0
1996,P.5,Formación bruta de capital,05.5,76.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.5,0.0
1996,D.9," Transferencias de capital, a pagar",05.5,0.0
1996,D.1,Remuneración de asalariados,05.6,64.0
1996,P.2,Consumos intermedios,05.6,20.0
1996,D.29,Otros impuestos sobre la producción,05.6,0.0
1996,D.3,Subvenciones,05.6,32.0
1996,D.4,Rentas de la propiedad,05.6,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,05.6,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,05.6,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,05.6,0.0
1996,D.7,Otras transferencias corrientes,05.6,1.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,05.6,0.0
1996,P.5,Formación bruta de capital,05.6,93.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,05.6,0.0
1996,D.9," Transferencias de capital, a pagar",05.6,1.0
1996,D.1,Remuneración de asalariados,06.1,87.0
1996,P.2,Consumos intermedios,06.1,80.0
1996,D.29,Otros impuestos sobre la producción,06.1,1.0
1996,D.3,Subvenciones,06.1,83.0
1996,D.4,Rentas de la propiedad,06.1,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,06.1,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,06.1,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,06.1,0.0
1996,D.7,Otras transferencias corrientes,06.1,8.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,06.1,0.0
1996,P.5,Formación bruta de capital,06.1,390.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,06.1,19.0
1996,D.9," Transferencias de capital, a pagar",06.1,537.0
1996,D.1,Remuneración de asalariados,06.2,686.0
1996,P.2,Consumos intermedios,06.2,631.0
1996,D.29,Otros impuestos sobre la producción,06.2,0.0
1996,D.3,Subvenciones,06.2,54.0
1996,D.4,Rentas de la propiedad,06.2,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,06.2,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,06.2,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,06.2,0.0
1996,D.7,Otras transferencias corrientes,06.2,7.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,06.2,0.0
1996,P.5,Formación bruta de capital,06.2,935.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,06.2,42.0
1996,D.9," Transferencias de capital, a pagar",06.2,184.0
1996,D.1,Remuneración de asalariados,06.3,60.0
1996,P.2,Consumos intermedios,06.3,144.0
1996,D.29,Otros impuestos sobre la producción,06.3,0.0
1996,D.3,Subvenciones,06.3,15.0
1996,D.4,Rentas de la propiedad,06.3,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,06.3,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,06.3,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,06.3,0.0
1996,D.7,Otras transferencias corrientes,06.3,4.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,06.3,0.0
1996,P.5,Formación bruta de capital,06.3,581.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,06.3,5.0
1996,D.9," Transferencias de capital, a pagar",06.3,5.0
1996,D.1,Remuneración de asalariados,06.4,18.0
1996,P.2,Consumos intermedios,06.4,104.0
1996,D.29,Otros impuestos sobre la producción,06.4,0.0
1996,D.3,Subvenciones,06.4,0.0
1996,D.4,Rentas de la propiedad,06.4,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,06.4,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,06.4,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,06.4,0.0
1996,D.7,Otras transferencias corrientes,06.4,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,06.4,0.0
1996,P.5,Formación bruta de capital,06.4,28.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,06.4,0.0
1996,D.9," Transferencias de capital, a pagar",06.4,0.0
1996,D.1,Remuneración de asalariados,06.5,13.0
1996,P.2,Consumos intermedios,06.5,5.0
1996,D.29,Otros impuestos sobre la producción,06.5,0.0
1996,D.3,Subvenciones,06.5,0.0
1996,D.4,Rentas de la propiedad,06.5,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,06.5,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,06.5,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,06.5,0.0
1996,D.7,Otras transferencias corrientes,06.5,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,06.5,0.0
1996,P.5,Formación bruta de capital,06.5,26.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,06.5,0.0
1996,D.9," Transferencias de capital, a pagar",06.5,0.0
1996,D.1,Remuneración de asalariados,06.6,21.0
1996,P.2,Consumos intermedios,06.6,6.0
1996,D.29,Otros impuestos sobre la producción,06.6,0.0
1996,D.3,Subvenciones,06.6,0.0
1996,D.4,Rentas de la propiedad,06.6,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,06.6,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,06.6,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,06.6,0.0
1996,D.7,Otras transferencias corrientes,06.6,4.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,06.6,0.0
1996,P.5,Formación bruta de capital,06.6,2.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,06.6,5.0
1996,D.9," Transferencias de capital, a pagar",06.6,1.0
1996,D.1,Remuneración de asalariados,07.1,10.0
1996,P.2,Consumos intermedios,07.1,2.0
1996,D.29,Otros impuestos sobre la producción,07.1,0.0
1996,D.3,Subvenciones,07.1,0.0
1996,D.4,Rentas de la propiedad,07.1,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,07.1,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,07.1,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,07.1,5096.0
1996,D.7,Otras transferencias corrientes,07.1,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,07.1,0.0
1996,P.5,Formación bruta de capital,07.1,0.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,07.1,0.0
1996,D.9," Transferencias de capital, a pagar",07.1,0.0
1996,D.1,Remuneración de asalariados,07.2,11525.0
1996,P.2,Consumos intermedios,07.2,4370.0
1996,D.29,Otros impuestos sobre la producción,07.2,14.0
1996,D.3,Subvenciones,07.2,0.0
1996,D.4,Rentas de la propiedad,07.2,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,07.2,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,07.2,691.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,07.2,2134.0
1996,D.7,Otras transferencias corrientes,07.2,34.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,07.2,0.0
1996,P.5,Formación bruta de capital,07.2,651.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,07.2,0.0
1996,D.9," Transferencias de capital, a pagar",07.2,12.0
1996,D.1,Remuneración de asalariados,07.3,0.0
1996,P.2,Consumos intermedios,07.3,0.0
1996,D.29,Otros impuestos sobre la producción,07.3,0.0
1996,D.3,Subvenciones,07.3,0.0
1996,D.4,Rentas de la propiedad,07.3,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,07.3,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,07.3,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,07.3,0.0
1996,D.7,Otras transferencias corrientes,07.3,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,07.3,0.0
1996,P.5,Formación bruta de capital,07.3,0.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,07.3,0.0
1996,D.9," Transferencias de capital, a pagar",07.3,0.0
1996,D.1,Remuneración de asalariados,07.4,291.0
1996,P.2,Consumos intermedios,07.4,90.0
1996,D.29,Otros impuestos sobre la producción,07.4,0.0
1996,D.3,Subvenciones,07.4,0.0
1996,D.4,Rentas de la propiedad,07.4,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,07.4,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,07.4,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,07.4,79.0
1996,D.7,Otras transferencias corrientes,07.4,16.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,07.4,0.0
1996,P.5,Formación bruta de capital,07.4,31.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,07.4,0.0
1996,D.9," Transferencias de capital, a pagar",07.4,0.0
1996,D.1,Remuneración de asalariados,07.5,139.0
1996,P.2,Consumos intermedios,07.5,33.0
1996,D.29,Otros impuestos sobre la producción,07.5,0.0
1996,D.3,Subvenciones,07.5,5.0
1996,D.4,Rentas de la propiedad,07.5,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,07.5,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,07.5,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,07.5,0.0
1996,D.7,Otras transferencias corrientes,07.5,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,07.5,0.0
1996,P.5,Formación bruta de capital,07.5,243.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,07.5,0.0
1996,D.9," Transferencias de capital, a pagar",07.5,0.0
1996,D.1,Remuneración de asalariados,07.6,269.0
1996,P.2,Consumos intermedios,07.6,73.0
1996,D.29,Otros impuestos sobre la producción,07.6,4.0
1996,D.3,Subvenciones,07.6,45.0
1996,D.4,Rentas de la propiedad,07.6,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,07.6,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,07.6,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,07.6,0.0
1996,D.7,Otras transferencias corrientes,07.6,11.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,07.6,0.0
1996,P.5,Formación bruta de capital,07.6,34.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,07.6,0.0
1996,D.9," Transferencias de capital, a pagar",07.6,3.0
1996,D.1,Remuneración de asalariados,08.1,408.0
1996,P.2,Consumos intermedios,08.1,334.0
1996,D.29,Otros impuestos sobre la producción,08.1,0.0
1996,D.3,Subvenciones,08.1,0.0
1996,D.4,Rentas de la propiedad,08.1,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,08.1,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,08.1,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,08.1,5.0
1996,D.7,Otras transferencias corrientes,08.1,174.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,08.1,0.0
1996,P.5,Formación bruta de capital,08.1,431.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,08.1,0.0
1996,D.9," Transferencias de capital, a pagar",08.1,15.0
1996,D.1,Remuneración de asalariados,08.2,675.0
1996,P.2,Consumos intermedios,08.2,557.0
1996,D.29,Otros impuestos sobre la producción,08.2,0.0
1996,D.3,Subvenciones,08.2,55.0
1996,D.4,Rentas de la propiedad,08.2,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,08.2,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,08.2,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,08.2,10.0
1996,D.7,Otras transferencias corrientes,08.2,214.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,08.2,0.0
1996,P.5,Formación bruta de capital,08.2,557.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,08.2,5.0
1996,D.9," Transferencias de capital, a pagar",08.2,165.0
1996,D.1,Remuneración de asalariados,08.3,608.0
1996,P.2,Consumos intermedios,08.3,1078.0
1996,D.29,Otros impuestos sobre la producción,08.3,2.0
1996,D.3,Subvenciones,08.3,58.0
1996,D.4,Rentas de la propiedad,08.3,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,08.3,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,08.3,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,08.3,0.0
1996,D.7,Otras transferencias corrientes,08.3,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,08.3,0.0
1996,P.5,Formación bruta de capital,08.3,41.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,08.3,0.0
1996,D.9," Transferencias de capital, a pagar",08.3,7.0
1996,D.1,Remuneración de asalariados,08.4,124.0
1996,P.2,Consumos intermedios,08.4,124.0
1996,D.29,Otros impuestos sobre la producción,08.4,0.0
1996,D.3,Subvenciones,08.4,66.0
1996,D.4,Rentas de la propiedad,08.4,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,08.4,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,08.4,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,08.4,0.0
1996,D.7,Otras transferencias corrientes,08.4,294.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,08.4,0.0
1996,P.5,Formación bruta de capital,08.4,44.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,08.4,0.0
1996,D.9," Transferencias de capital, a pagar",08.4,18.0
1996,D.1,Remuneración de asalariados,08.5,8.0
1996,P.2,Consumos intermedios,08.5,1.0
1996,D.29,Otros impuestos sobre la producción,08.5,0.0
1996,D.3,Subvenciones,08.5,0.0
1996,D.4,Rentas de la propiedad,08.5,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,08.5,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,08.5,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,08.5,0.0
1996,D.7,Otras transferencias corrientes,08.5,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,08.5,0.0
1996,P.5,Formación bruta de capital,08.5,12.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,08.5,0.0
1996,D.9," Transferencias de capital, a pagar",08.5,0.0
1996,D.1,Remuneración de asalariados,08.6,109.0
1996,P.2,Consumos intermedios,08.6,78.0
1996,D.29,Otros impuestos sobre la producción,08.6,0.0
1996,D.3,Subvenciones,08.6,4.0
1996,D.4,Rentas de la propiedad,08.6,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,08.6,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,08.6,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,08.6,0.0
1996,D.7,Otras transferencias corrientes,08.6,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,08.6,0.0
1996,P.5,Formación bruta de capital,08.6,5.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,08.6,0.0
1996,D.9," Transferencias de capital, a pagar",08.6,0.0
1996,D.1,Remuneración de asalariados,09.1,5566.0
1996,P.2,Consumos intermedios,09.1,402.0
1996,D.29,Otros impuestos sobre la producción,09.1,0.0
1996,D.3,Subvenciones,09.1,0.0
1996,D.4,Rentas de la propiedad,09.1,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.1,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.1,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.1,1223.0
1996,D.7,Otras transferencias corrientes,09.1,60.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.1,0.0
1996,P.5,Formación bruta de capital,09.1,367.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.1,0.0
1996,D.9," Transferencias de capital, a pagar",09.1,1.0
1996,D.1,Remuneración de asalariados,09.2,6896.0
1996,P.2,Consumos intermedios,09.2,438.0
1996,D.29,Otros impuestos sobre la producción,09.2,0.0
1996,D.3,Subvenciones,09.2,0.0
1996,D.4,Rentas de la propiedad,09.2,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.2,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.2,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.2,859.0
1996,D.7,Otras transferencias corrientes,09.2,145.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.2,0.0
1996,P.5,Formación bruta de capital,09.2,398.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.2,0.0
1996,D.9," Transferencias de capital, a pagar",09.2,8.0
1996,D.1,Remuneración de asalariados,09.3,2.0
1996,P.2,Consumos intermedios,09.3,0.0
1996,D.29,Otros impuestos sobre la producción,09.3,0.0
1996,D.3,Subvenciones,09.3,0.0
1996,D.4,Rentas de la propiedad,09.3,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.3,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.3,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.3,0.0
1996,D.7,Otras transferencias corrientes,09.3,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.3,0.0
1996,P.5,Formación bruta de capital,09.3,0.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.3,0.0
1996,D.9," Transferencias de capital, a pagar",09.3,0.0
1996,D.1,Remuneración de asalariados,09.4,1674.0
1996,P.2,Consumos intermedios,09.4,538.0
1996,D.29,Otros impuestos sobre la producción,09.4,0.0
1996,D.3,Subvenciones,09.4,0.0
1996,D.4,Rentas de la propiedad,09.4,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.4,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.4,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.4,105.0
1996,D.7,Otras transferencias corrientes,09.4,420.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.4,0.0
1996,P.5,Formación bruta de capital,09.4,350.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.4,58.0
1996,D.9," Transferencias de capital, a pagar",09.4,10.0
1996,D.1,Remuneración de asalariados,09.5,290.0
1996,P.2,Consumos intermedios,09.5,44.0
1996,D.29,Otros impuestos sobre la producción,09.5,0.0
1996,D.3,Subvenciones,09.5,0.0
1996,D.4,Rentas de la propiedad,09.5,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.5,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.5,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.5,15.0
1996,D.7,Otras transferencias corrientes,09.5,31.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.5,0.0
1996,P.5,Formación bruta de capital,09.5,2.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.5,0.0
1996,D.9," Transferencias de capital, a pagar",09.5,0.0
1996,D.1,Remuneración de asalariados,09.6,55.0
1996,P.2,Consumos intermedios,09.6,83.0
1996,D.29,Otros impuestos sobre la producción,09.6,0.0
1996,D.3,Subvenciones,09.6,0.0
1996,D.4,Rentas de la propiedad,09.6,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.6,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.6,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.6,146.0
1996,D.7,Otras transferencias corrientes,09.6,7.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.6,0.0
1996,P.5,Formación bruta de capital,09.6,3.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.6,0.0
1996,D.9," Transferencias de capital, a pagar",09.6,0.0
1996,D.1,Remuneración de asalariados,09.7,18.0
1996,P.2,Consumos intermedios,09.7,10.0
1996,D.29,Otros impuestos sobre la producción,09.7,0.0
1996,D.3,Subvenciones,09.7,7.0
1996,D.4,Rentas de la propiedad,09.7,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.7,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.7,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.7,0.0
1996,D.7,Otras transferencias corrientes,09.7,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.7,0.0
1996,P.5,Formación bruta de capital,09.7,33.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.7,0.0
1996,D.9," Transferencias de capital, a pagar",09.7,1.0
1996,D.1,Remuneración de asalariados,09.8,325.0
1996,P.2,Consumos intermedios,09.8,134.0
1996,D.29,Otros impuestos sobre la producción,09.8,0.0
1996,D.3,Subvenciones,09.8,21.0
1996,D.4,Rentas de la propiedad,09.8,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,09.8,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,09.8,0.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,09.8,0.0
1996,D.7,Otras transferencias corrientes,09.8,22.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,09.8,0.0
1996,P.5,Formación bruta de capital,09.8,85.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,09.8,0.0
1996,D.9," Transferencias de capital, a pagar",09.8,1.0
1996,D.1,Remuneración de asalariados,10.1,497.0
1996,P.2,Consumos intermedios,10.1,224.0
1996,D.29,Otros impuestos sobre la producción,10.1,0.0
1996,D.3,Subvenciones,10.1,0.0
1996,D.4,Rentas de la propiedad,10.1,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,10.1,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,10.1,9850.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,10.1,41.0
1996,D.7,Otras transferencias corrientes,10.1,144.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,10.1,0.0
1996,P.5,Formación bruta de capital,10.1,47.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,10.1,0.0
1996,D.9," Transferencias de capital, a pagar",10.1,9.0
1996,D.1,Remuneración de asalariados,10.2,729.0
1996,P.2,Consumos intermedios,10.2,381.0
1996,D.29,Otros impuestos sobre la producción,10.2,3.0
1996,D.3,Subvenciones,10.2,0.0
1996,D.4,Rentas de la propiedad,10.2,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,10.2,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,10.2,31448.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,10.2,142.0
1996,D.7,Otras transferencias corrientes,10.2,75.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,10.2,0.0
1996,P.5,Formación bruta de capital,10.2,69.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,10.2,0.0
1996,D.9," Transferencias de capital, a pagar",10.2,8.0
1996,D.1,Remuneración de asalariados,10.3,53.0
1996,P.2,Consumos intermedios,10.3,11.0
1996,D.29,Otros impuestos sobre la producción,10.3,0.0
1996,D.3,Subvenciones,10.3,0.0
1996,D.4,Rentas de la propiedad,10.3,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,10.3,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,10.3,9814.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,10.3,0.0
1996,D.7,Otras transferencias corrientes,10.3,0.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,10.3,0.0
1996,P.5,Formación bruta de capital,10.3,6.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,10.3,0.0
1996,D.9," Transferencias de capital, a pagar",10.3,0.0
1996,D.1,Remuneración de asalariados,10.4,283.0
1996,P.2,Consumos intermedios,10.4,171.0
1996,D.29,Otros impuestos sobre la producción,10.4,0.0
1996,D.3,Subvenciones,10.4,0.0
1996,D.4,Rentas de la propiedad,10.4,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,10.4,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,10.4,1594.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,10.4,116.0
1996,D.7,Otras transferencias corrientes,10.4,78.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,10.4,0.0
1996,P.5,Formación bruta de capital,10.4,11.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,10.4,0.0
1996,D.9," Transferencias de capital, a pagar",10.4,1.0
1996,D.1,Remuneración de asalariados,10.5,181.0
1996,P.2,Consumos intermedios,10.5,43.0
1996,D.29,Otros impuestos sobre la producción,10.5,1.0
1996,D.3,Subvenciones,10.5,0.0
1996,D.4,Rentas de la propiedad,10.5,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,10.5,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,10.5,9950.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,10.5,136.0
1996,D.7,Otras transferencias corrientes,10.5,5.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,10.5,0.0
1996,P.5,Formación bruta de capital,10.5,80.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,10.5,0.0
1996,D.9," Transferencias de capital, a pagar",10.5,1.0
1996,D.1,Remuneración de asalariados,10.6,0.0
1996,P.2,Consumos intermedios,10.6,0.0
1996,D.29,Otros impuestos sobre la producción,10.6,0.0
1996,D.3,Subvenciones,10.6,0.0
1996,D.4,Rentas de la propiedad,10.6,0.0
1996,D.51,Impuestos corrientes sobre la renta…a pagar,10.6,0.0
1996,D.62,Prestaciones sociales distintas de las  transferencias sociales en especie,10.6,5.0
1996,D.632,Transferencias sociales en especie: producción adquirida en el mercado,10.6,0.0
1996,D.7,Otras transferencias corrientes,10.6,1.0
1996,D.8,Ajustes por la variación de los derechos por pensiones,10.6,0.0
1996,P.5,Formación bruta de capital,10.6,0.0
1996,NP, Adquisiciones menos cesiones de activos no financieros no producidos,10.6,0.0
